#NOME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,
Dataset:Popolazione residente  al 1° gennaio,,,,,,,,,,,,,,,,
Età,,totale,,,,,,,,,,,,,,
Stato civile,,totale,,,,,,,,,,,,,,
Tipo di indicatore demografico,,popolazione al 1º gennaio,,,,,,,,,,,,,,
Seleziona periodo,,2015,,,2016,,,2017,,,2018,,,2019,,
Sesso,,maschi15,femmine15,totale15,maschi16,femmine16,totale16,maschi17,femmine17,totale17,maschi18,femmine18,totale18,maschi19,femmine19,totale19
Veneto,,2402358,2525238,4927596,2396522,2518601,4915123,2394567,2512962,4907529,2395801,2509236,4905037,2399783,2506071,4905854
  Verona,,451585,472079,923664,450945,471438,922383,450834,470723,921557,451519,471302,922821,454113,472384,926497
    Affi,,1125,1194,2319,1143,1193,2336,1141,1200,2341,1134,1199,2333,1145,1217,2362
    Albaredo d'Adige,,2659,2658,5317,2633,2621,5254,2636,2603,5239,2616,2574,5190,2662,2601,5263
    Angiari,,1082,1159,2241,1078,1140,2218,1107,1167,2274,1117,1175,2292,1104,1161,2265
    Arcole,,3039,3177,6216,3028,3163,6191,3069,3186,6255,3067,3179,6246,3123,3222,6345
    Badia Calavena,,1348,1295,2643,1350,1299,2649,1355,1299,2654,1340,1283,2623,1347,1291,2638
    Bardolino,,3419,3618,7037,3397,3652,7049,3421,3665,7086,3446,3701,7147,3463,3715,7178
    Belfiore,,1559,1549,3108,1574,1570,3144,1583,1564,3147,1591,1562,3153,1615,1574,3189
    Bevilacqua,,893,890,1783,885,873,1758,869,844,1713,861,839,1700,851,841,1692
    Bonavigo,,1036,995,2031,1023,987,2010,1040,1000,2040,1033,980,2013,1031,978,2009
    Boschi Sant'Anna,,693,753,1446,678,753,1431,668,732,1400,668,722,1390,681,710,1391
    Bosco Chiesanuova,,1868,1757,3625,1862,1738,3600,1875,1724,3599,1864,1704,3568,1864,1693,3557
    Bovolone,,7840,8027,15867,7862,8026,15888,7861,8013,15874,7978,8100,16078,7958,8100,16058
    Brentino Belluno,,724,697,1421,711,684,1395,711,677,1388,709,669,1378,710,661,1371
    Brenzone sul Garda,,1161,1327,2488,1149,1325,2474,1136,1316,2452,1163,1326,2489,1143,1321,2464
    Bussolengo,,9832,10196,20028,9779,10159,19938,9815,10212,20027,9858,10284,20142,9958,10373,20331
    Buttapietra,,3548,3511,7059,3557,3503,7060,3525,3510,7035,3544,3518,7062,3545,3503,7048
    Caldiero,,3876,3865,7741,3921,3883,7804,3947,3879,7826,3984,3921,7905,3962,3924,7886
    Caprino Veronese,,4047,4291,8338,4068,4303,8371,4078,4316,8394,4079,4320,8399,4142,4325,8467
    Casaleone,,2944,2946,5890,2881,2925,5806,2854,2912,5766,2802,2846,5648,2802,2839,5641
    Castagnaro,,1850,1920,3770,1828,1922,3750,1862,1917,3779,1849,1900,3749,1822,1865,3687
    Castel d'Azzano,,5819,5994,11813,5775,5992,11767,5809,5995,11804,5853,5994,11847,5879,6031,11910
    Castelnuovo del Garda,,6393,6625,13018,6481,6733,13214,6541,6743,13284,6451,6686,13137,6535,6731,13266
    Cavaion Veronese,,2820,2963,5783,2863,2986,5849,2892,3018,5910,2905,3019,5924,2952,3069,6021
    Cazzano di Tramigna,,765,787,1552,754,779,1533,730,783,1513,732,780,1512,733,761,1494
    Cerea,,8090,8366,16456,8168,8361,16529,8175,8426,16601,8146,8371,16517,8189,8413,16602
    Cerro Veronese,,1246,1238,2484,1236,1235,2471,1227,1234,2461,1234,1229,2463,1253,1232,2485
    Cologna Veneta,,4307,4392,8699,4278,4368,8646,4262,4343,8605,4181,4287,8468,4228,4286,8514
    Colognola ai Colli,,4295,4287,8582,4319,4308,8627,4329,4302,8631,4346,4353,8699,4391,4417,8808
    Concamarise,,558,524,1082,557,520,1077,556,529,1085,552,527,1079,555,531,1086
    Costermano sul Garda,,1848,1882,3730,1855,1883,3738,1864,1869,3733,1870,1879,3749,1894,1899,3793
    Dolcè,,1338,1286,2624,1334,1291,2625,1301,1286,2587,1298,1277,2575,1301,1308,2609
    Erbè,,916,916,1832,921,926,1847,951,937,1888,964,959,1923,963,957,1920
    Erbezzo,,389,370,759,377,363,740,369,351,720,371,351,722,405,352,757
    Ferrara di Monte Baldo,,122,109,231,118,108,226,119,109,228,162,111,273,155,120,275
    Fumane,,2096,2052,4148,2083,2036,4119,2056,2036,4092,2075,2050,4125,2103,2039,4142
    Garda,,1997,2065,4062,2010,2082,4092,2017,2088,4105,2013,2104,4117,2023,2093,4116
    Gazzo Veronese,,2673,2739,5412,2650,2752,5402,2614,2745,5359,2610,2737,5347,2603,2711,5314
    Grezzana,,5451,5380,10831,5425,5363,10788,5462,5340,10802,5445,5360,10805,5567,5365,10932
    Illasi,,2688,2643,5331,2665,2600,5265,2650,2603,5253,2645,2598,5243,2640,2598,5238
    Isola della Scala,,5680,5895,11575,5679,5857,11536,5754,5818,11572,5770,5775,11545,5801,5748,11549
    Isola Rizza,,1649,1637,3286,1631,1635,3266,1623,1639,3262,1622,1600,3222,1620,1622,3242
    Lavagno,,4205,4226,8431,4220,4215,8435,4201,4224,8425,4203,4207,8410,4246,4249,8495
    Lazise,,3448,3505,6953,3405,3496,6901,3408,3508,6916,3434,3524,6958,3488,3554,7042
    Legnago,,12172,13172,25344,12186,13165,25351,12156,13109,25265,12154,13105,25259,12252,13128,25380
    Malcesine,,1788,1940,3728,1791,1945,3736,1781,1923,3704,1772,1913,3685,1766,1921,3687
    Marano di Valpolicella,,1559,1578,3137,1579,1596,3175,1560,1585,3145,1559,1586,3145,1579,1599,3178
    Mezzane di Sotto,,1202,1323,2525,1203,1316,2519,1185,1298,2483,1199,1299,2498,1217,1292,2509
    Minerbe,,2292,2379,4671,2255,2364,4619,2262,2364,4626,2248,2325,4573,2276,2341,4617
    Montecchia di Crosara,,2254,2125,4379,2239,2131,4370,2220,2127,4347,2219,2106,4325,2229,2079,4308
    Monteforte d'Alpone,,4489,4356,8845,4519,4372,8891,4559,4380,8939,4553,4364,8917,4597,4391,8988
    Mozzecane,,3847,3656,7503,3858,3648,7506,3871,3675,7546,3933,3723,7656,4016,3828,7844
    Negrar,,8473,8653,17126,8490,8629,17119,8482,8623,17105,8462,8631,17093,8485,8611,17096
    Nogara,,4237,4430,8667,4191,4395,8586,4168,4325,8493,4157,4300,8457,4196,4289,8485
    Nogarole Rocca,,1940,1750,3690,1933,1744,3677,1904,1733,3637,1908,1730,3638,1944,1772,3716
    Oppeano,,4912,4901,9813,4979,4921,9900,5022,4950,9972,5046,4971,10017,5099,4998,10097
    Palù,,640,618,1258,640,622,1262,625,626,1251,615,621,1236,621,623,1244
    Pastrengo,,1509,1551,3060,1525,1567,3092,1537,1575,3112,1523,1569,3092,1515,1542,3057
    Pescantina,,8473,8567,17040,8491,8637,17128,8476,8657,17133,8516,8720,17236,8569,8739,17308
    Peschiera del Garda,,4892,5360,10252,4986,5368,10354,5048,5417,10465,5083,5500,10583,5162,5543,10705
    Povegliano Veronese,,3509,3618,7127,3515,3598,7113,3543,3637,7180,3570,3663,7233,3614,3703,7317
    Pressana,,1295,1233,2528,1305,1207,2512,1314,1214,2528,1311,1224,2535,1297,1226,2523
    Rivoli Veronese,,1080,1101,2181,1085,1095,2180,1084,1098,2182,1099,1111,2210,1090,1106,2196
    Roncà,,1918,1889,3807,1890,1917,3807,1899,1935,3834,1905,1928,3833,1900,1909,3809
    Ronco all'Adige,,3064,3025,6089,3049,2980,6029,3028,2980,6008,3039,2962,6001,3048,2971,6019
    Roverchiara,,1432,1324,2756,1427,1344,2771,1411,1339,2750,1369,1326,2695,1375,1297,2672
    Roverè Veronese,,1092,1051,2143,1078,1037,2115,1082,1033,2115,1061,1032,2093,1062,1037,2099
    Roveredo di Guà,,760,806,1566,771,802,1573,775,800,1575,787,810,1597,794,807,1601
    Salizzole,,1906,1856,3762,1916,1863,3779,1925,1847,3772,1943,1861,3804,1927,1865,3792
    San Bonifacio,,10574,10652,21226,10593,10691,21284,10548,10710,21258,10631,10766,21397,10636,10766,21402
    San Giovanni Ilarione,,2625,2509,5134,2620,2493,5113,2625,2490,5115,2602,2483,5085,2594,2480,5074
    San Giovanni Lupatoto,,12151,12840,24991,12172,12894,25066,12260,12945,25205,12341,12996,25337,12412,13020,25432
    San Martino Buon Albergo,,7296,7533,14829,7324,7616,14940,7421,7727,15148,7597,7885,15482,7714,7920,15634
    San Mauro di Saline,,303,274,577,312,270,582,300,263,563,296,272,568,293,264,557
    San Pietro di Morubio,,1535,1516,3051,1516,1492,3008,1524,1484,3008,1514,1465,2979,1526,1449,2975
    San Pietro in Cariano,,6283,6688,12971,6201,6696,12897,6200,6651,12851,6222,6684,12906,6212,6724,12936
    San Zeno di Montagna,,709,647,1356,700,655,1355,708,654,1362,713,662,1375,717,675,1392
    Sanguinetto,,2030,2091,4121,2025,2076,4101,2012,2055,4067,1983,2028,4011,2056,2041,4097
    Sant'Ambrogio di Valpolicella,,5743,6013,11756,5732,6005,11737,5764,5994,11758,5805,6013,11818,5833,6043,11876
    Sant'Anna d'Alfaedo,,1323,1250,2573,1320,1233,2553,1317,1221,2538,1312,1223,2535,1316,1217,2533
    Selva di Progno,,489,442,931,495,438,933,487,424,911,479,420,899,471,419,890
    Soave,,3456,3655,7111,3448,3668,7116,3479,3667,7146,3464,3644,7108,3460,3664,7124
    Sommacampagna,,7407,7439,14846,7416,7405,14821,7365,7381,14746,7395,7407,14802,7383,7406,14789
    Sona,,8814,8873,17687,8792,8891,17683,8762,8868,17630,8779,8915,17694,8809,8967,17776
    Sorgà,,1530,1540,3070,1523,1519,3042,1495,1505,3000,1507,1512,3019,1518,1511,3029
    Terrazzo,,1102,1147,2249,1097,1145,2242,1085,1134,2219,1074,1127,2201,1064,1124,2188
    Torri del Benaco,,1480,1546,3026,1476,1547,3023,1476,1549,3025,1488,1552,3040,1490,1564,3054
    Tregnago,,2426,2504,4930,2434,2504,4938,2453,2513,4966,2435,2483,4918,2415,2475,4890
    Trevenzuolo,,1400,1361,2761,1398,1355,2753,1400,1354,2754,1400,1352,2752,1431,1349,2780
    Valeggio sul Mincio,,7427,7496,14923,7482,7616,15098,7603,7705,15308,7657,7767,15424,7696,7868,15564
    Velo Veronese,,418,359,777,414,356,770,407,352,759,404,344,748,408,356,764
    Verona,,122984,137141,260125,122326,136439,258765,121735,135618,257353,121660,135615,257275,122292,135701,257993
    Veronella,,2508,2458,4966,2573,2486,5059,2581,2496,5077,2584,2532,5116,2590,2530,5120
    Vestenanova,,1331,1276,2607,1327,1281,2608,1322,1264,2586,1313,1256,2569,1294,1253,2547
    Vigasio,,4990,4965,9955,5018,4955,9973,5015,4961,9976,5093,5041,10134,5152,5095,10247
    Villa Bartolomea,,2893,3008,5901,2856,2985,5841,2853,2984,5837,2876,3004,5880,2855,2983,5838
    Villafranca di Verona,,16348,16898,33246,16314,16880,33194,16301,16884,33185,16288,16944,33232,16393,16974,33367
    Zevio,,7457,7526,14983,7445,7508,14953,7493,7525,15018,7523,7525,15048,7543,7507,15050
